output/bluetooth-esr.html: CESG
output/bluetooth-release-linkable.html: CEM
output/bluetooth-release-linkable.html: EDR
output/bluetooth-release-linkable.html: FP
output/bluetooth-release-linkable.html: HCI
output/bluetooth-release-linkable.html: L2CAP
output/bluetooth-release-linkable.html: LMP
output/bluetooth-release-linkable.html: MDF
output/bluetooth-release-linkable.html: OBEX
output/bluetooth-release.html: CEM
output/bluetooth-release.html: EDR
output/bluetooth-release.html: FP
output/bluetooth-release.html: HCI
output/bluetooth-release.html: L2CAP
output/bluetooth-release.html: LMP
output/bluetooth-release.html: MDF
output/bluetooth-release.html: OBEX
output/bluetooth-sd.html: ASE
output/bluetooth-sd.html: Acknowledgements
output/bluetooth-sd.html: Activites
output/bluetooth-sd.html: CCRA
output/bluetooth-sd.html: CEM
output/bluetooth-sd.html: DEV1
output/bluetooth-sd.html: DEV2
output/bluetooth-sd.html: EDR
output/bluetooth-sd.html: FP
output/bluetooth-sd.html: FSP
output/bluetooth-sd.html: HCI
output/bluetooth-sd.html: L2CAP
output/bluetooth-sd.html: LMP
output/bluetooth-sd.html: MDF
output/bluetooth-sd.html: MiTM
output/bluetooth-sd.html: NoInput
output/bluetooth-sd.html: NoInputNoOutput
output/bluetooth-sd.html: NoOutput
output/bluetooth-sd.html: OBEX
output/bluetooth-sd.html: SDs
output/bluetooth-sd.html: iteratively
output/bluetooth-sd.html: labelled
output/bluetooth-sd.html: manaagement
output/bluetooth-sd.html: workunit
output/bluetooth-sd.html: workunits
output/bluetooth.html: CEM
output/bluetooth.html: DEV1
output/bluetooth.html: DEV2
output/bluetooth.html: EDR
output/bluetooth.html: FP
output/bluetooth.html: HCI
output/bluetooth.html: L2CAP
output/bluetooth.html: LMP
output/bluetooth.html: MDF
output/bluetooth.html: MiTM
output/bluetooth.html: NoInput
output/bluetooth.html: NoInputNoOutput
output/bluetooth.html: NoOutput
output/bluetooth.html: OBEX
output/bluetooth.html: iteratively
output/bluetooth.html: manaagement
